id_fabricante;cnpj_fabricante;fabricante
Fab00312;44363661000319;GLENMARK FARMACEUTICA LTDA
Fab00313;28547190000180;GRAZIELA VELANI ABUFARES COMERCIO DE MEDICAMENTOS EIRELI
Fab00314;42457796000156;DIFFUCAP-CHEMOBRAS QUIMICA E FARMACEUTICA LTDA
Fab00315;58426628000133;SAMTRONIC INDUSTRIA E COMERCIO LTDA
Fab00316;60726692000181;MARJAN INDUSTRIA E COMERCIO LTDA
Fab00317;51753374000119;GOLGRAN INDUSTRIA E COMERCIO DE INSTRUMENTAL ODONT LTDA
Fab00318;69342475000162;TECNODENT INDUSTRIA E COMERCIO LTDA - EPP
Fab00319;03851135000159;KENNEN INDUSTRIA E COMERCIO LTDA - EPP
Fab00320;05575117000117;GENOM FARMACEUTICA LTDA
Fab00321;09024090000125;INTRACORP INSTITUTO DA TRAQUEIA, CORACAO E PULMAO SS LTDA - ME
Fab00322;09100491000117;FLEXINOX INDUSTRIA E COMERCIO DE ACOS LTDA
Fab00323;73297509000111;BHIO SUPPLY INDUSTRIA E COMERCIO DE EQUIPAMENTOS MEDICOS LTDA
Fab00324;09542984000107;SOROCAPS INDUSTRIA FARMACEUTICA LTDA
Fab00325;50938745000174;THEOTO S A INDUSTRIA E COMERCIO
Fab00326;10554289000144;BRASFARMA COMERCIAL LTDA - ME
Fab00327;17159229000257;LABORATÓRIO TEUTO BRASILEIRO LTDA
Fab00328;04238197000152;PROLINK INDUSTRIA E COMERCIO DE CORRENTES LTDA
Fab00329;05268490000125;BRASIL PHARMA HOSPITALAR LTDA
Fab00330;49716616000152;RAMUZA INDUSTRIA E COMERCIO DE BALANCAS LTDA
Fab00331;51780468000268;JANSSEN-CILAG FARMACEUTICA LTDA
Fab00332;71982839000110;UNICHEM QUIMICA INDUSTRIA E COMERCIO LTDA
Fab00333;44463156000184;SERVIMED COMERCIAL LTDA
Fab00334;46179008000168;BRASTERAPICA INDUSTRIA FARMACEUTICA S/E LTDA
Fab00335;03055242000170;GOJO AMERICA LATINA LTDA
Fab00336;92695691000103;KLEY HERTZ FARMACEUTICA S.A
Fab00337;00000000006023;#N/D
Fab00338;45987013000304;MERCK SHARP & DOHME FARMACEUTICA LTDA
Fab00339;09284952000159;KEDRION BRASIL DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA
Fab00340;22391828000150;INJET MED INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO DE PRODUTOS
Fab00341;32407538000454;INDUSTRIA FRONTINENSE DE LATEX SA
Fab00342;14633154000206;ECO DIAGNOSTICA LTDA - EPP
Fab00343;03840189000119;RS MED LTDA
Fab00344;72899016000199;SCA DO BRASIL INDUSTRIA E COMERCIO LTDA
Fab00345;08442245000261;PROTDESC DO BRASIL IMPORTACAO E EXPORTACAO LTDA
