id_instituicao;cnpj_instituicao;nome_instituicao;municipio_instituicao;uf
Ins00221;46137444000174;MUNICIPIO DE AGUDOS;AGUDOS;SP
Ins00222;11261188000148;FUNDO MUNICIPAL DE SAUDE;ITABAIANINHA;SE
Ins00223;21817418000166;FUNDO MUNICIPAL DE SAUDE;URUPA;RO
Ins00224;14635944000140;FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE IBIRACU;IBIRACU;ES
Ins00225;08927244000126;FUNDO MUNICIPAL DE SAUDE;RONDON;PR
Ins00226;76021450000122;MUNICIPIO DE SAO MATEUS DO SUL;SAO MATEUS DO SUL;PR
Ins00227;11248285000109;FUNDO MUNICIPAL DE SAUDE;IPOJUCA;PE
Ins00228;76282680000145;MUNICIPIO DE MARIALVA;MARIALVA;PR
Ins00229;75963256000101;MUNICIPIO DE RIO AZUL;RIO AZUL;PR
Ins00230;08881567000126;MUNICIPIO DE QUIXABA;QUIXABA;PB
Ins00231;76910900000138;MUNICIPIO DE JAGUARIAIVA;JAGUARIAIVA;PR
Ins00232;75388850000108;MUNICIPIO DE LEOPOLIS;LEOPOLIS;PR
Ins00233;08194799000106;FUNDO MUNICIPAL DE SAUDE;MACHADOS;PE
Ins00234;75845511000103;MUNICIPIO DE LUPIONOPOLIS;LUPIONOPOLIS;PR
Ins00235;11209770000165;FUNDO MUNICIPAL DE SAUDE;MATUREIA;PB
Ins00236;11356696000100;FUNDO MUNICIPAL DE SAUDE DE SAO MATEUS;SAO MATEUS;ES
Ins00237;14578805000121;FUNDO MUNICIPAL DE SAUDE DE COLATINA;COLATINA;ES
Ins00238;46223707000168;MUNICIPIO DE FARTURA;FARTURA;SP
Ins00239;46374500026231;SECRETARIA DE ESTADO DA SAUDE;SAO PAULO;SP
Ins00240;46231890000143;MUNICIPIO DE SANTA CRUZ DO RIO PARDO;SANTA CRUZ DO RIO PARDO;SP
Ins00241;09307789000100;FUNDO MUNICIPAL DE SAUDE;RANCHO ALEGRE D'OESTE;PR
Ins00242;12013802000115;FUNDO MUNICIPAL DE SAUDE;CENTENARIO;TO
Ins00243;75587204000170;MUNICIPIO DE TERRA ROXA;TERRA ROXA;PR
Ins00244;11980140000190;FUNDO MUNICIPAL DE SAUDE DE MONSENHOR GIL;MONSENHOR GIL;PI
Ins00245;76416866000140;SECRETARIA DE ESTADO DA SAUDE;CURITIBA;PR
Ins00246;18592162000121;MUNICIPIO DE ESTRELA DO SUL;ESTRELA DO SUL;MG
Ins00247;75967760000171;MUNICIPIO DE UNIAO DA VITORIA;UNIAO DA VITORIA;PR
Ins00248;01753843000121;MUNICIPIO DE FLORESTA DO PIAUI - SECRETARIA DE SAUDE;FLORESTA DO PIAUI;PI
Ins00249;27150549000119;MUNICIPIO DE CARIACICA;CARIACICA;ES
Ins00250;76105543000135;MUNICIPIO DE SAO JOSE DOS PINHAIS;SAO JOSE DOS PINHAIS;PR
Ins00251;08976611000181;FUNDO MUNICIPAL DE SAUDE DE BOM JESUS DO SUL;BOM JESUS DO SUL;PR
Ins00252;75378844000170;MUNICIPIO DE GUAPOREMA;GUAPOREMA;PR
Ins00253;18260489000104;MUNICIPIO DE TUPACIGUARA;TUPACIGUARA;MG
Ins00254;11462050000107;FUNDO MUNICIPAL DE SAUDE DE SALGADO DE SAO FELIX;SALGADO DE SAO FELIX;PB
Ins00255;11514360000128;FUNDO MUNICIPAL DE SAUDE;BARREIROS;PE
Ins00256;77877116000138;MUNICIPIO DE TUPASSI;TUPASSI;PR
Ins00257;10493355000113;FUNDO MUNICIPAL DE SAUDE DE DESTERRO;DESTERRO;PB
